guid,rd_id
https://www.ebi.ac.uk/pride/archive/projects/PXD010370,https://www.ebi.ac.uk/pride/archive/projects/PXD010370
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107206,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107206
https://doi.org/10.6084/m9.figshare.13154321.v1,https://doi.org/10.6084/m9.figshare.13154321.v1
https://www.ebi.ac.uk/pride/archive/projects/PXD018874,https://www.ebi.ac.uk/pride/archive/projects/PXD018874
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134869,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134869
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148720,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148720
https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR12567985,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR12567985
https://doi.org/10.17632/25cnynmzx6.1,https://doi.org/10.17632/25cnynmzx6.1
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE143930,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE143930
https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR5010537,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR5010537
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144273,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144273
https://doi.org/10.1021/acs.analchem.0c00136.s001,https://figshare.com/articles/dataset/Concepts_and_Software_Package_for_Efficient_Quality_Control_in_Targeted_Metabolomics_Studies_MeTaQuaC/12668465?backTo=/collections/Concepts_and_Software_Package_for_Efficient_Quality_Control_in_Targeted_Metabolomics_Studies_MeTaQuaC/5066000
https://github.com/volkamerlab/KinFragLib/tree/master/data,https://github.com/volkamerlab/KinFragLib/tree/master/data
https://www.ebi.ac.uk/pride/archive/projects/PXD014913,https://www.ebi.ac.uk/pride/archive/projects/PXD014913
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE121362,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE121362
https://www.ebi.ac.uk/pride/archive/projects/PXD012523,https://www.ebi.ac.uk/pride/archive/projects/PXD012523
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122399,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122399
https://www.ncbi.nlm.nih.gov/nuccore/MT136926,https://www.ncbi.nlm.nih.gov/nuccore/MT136926
https://doi.org/10.6084/m9.figshare.11117669,https://doi.org/10.6084/m9.figshare.11117669
https://www.ebi.ac.uk/pride/archive/projects/PXD016341,https://www.ebi.ac.uk/pride/archive/projects/PXD016341
https://ega-archive.org/datasets/EGAD00001001343/files,https://ega-archive.org/datasets/EGAD00001001343/files
https://dcc.icgc.org/releases/PCAWG/networks,https://dcc.icgc.org/releases/PCAWG/networks
https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3013/,https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3013/
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE89461,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE89461
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124425,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124425
https://www.ebi.ac.uk/pride/archive/projects/PXD011129,https://www.ebi.ac.uk/pride/archive/projects/PXD011129
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77534,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77534
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE120576,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE120576
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE140133,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE140133
https://www.ebi.ac.uk/pride/archive/projects/PXD017341,https://www.ebi.ac.uk/pride/archive/projects/PXD017341
https://www.ncbi.nlm.nih.gov/nuccore/MN175570,https://www.ncbi.nlm.nih.gov/nuccore/MN175570
